tech_category,difficulty,question_desc,option_1,option_2,option_3,option_4,correct_answer
Data,beginner,Apa yang dimaksud dengan visualisasi data?,Proses membuat database,Teknik untuk menyembunyikan informasi dalam data,Representasi grafis dari informasi dan data,Metode untuk menghapus data yang tidak diperlukan,Representasi grafis dari informasi dan data
Data,beginner,Manakah dari berikut ini yang merupakan contoh dari tipe data kuantitatif?,Warna mata,Feedback pelanggan,Jumlah penjualan,Jenis kelamin,Jumlah penjualan
Data,beginner,Apa kepanjangan dari SQL?,Simple Query Language,Structured Question Language,Structured Query Language,Simple Question Language,Structured Query Language
Data,beginner,Apa fungsi utama dari Database Management System (DBMS)?,Untuk membuat grafik dan chart,Untuk menganalisis data statistik,Untuk mengelola dan mengorganisir database,Untuk membuat website,Untuk mengelola dan mengorganisir database
Data,beginner,Manakah dari berikut ini yang BUKAN termasuk dalam tahapan analisis data?,Pengumpulan data,Pembersihan data,Penjualan data,Interpretasi data,Penjualan data
Data,beginner,Apa yang dimaksud dengan 'data wrangling'?,Proses menghapus semua data,Teknik untuk membuat data baru,Proses transformasi dan pemetaan data dari satu format ke format lain,Metode untuk menyembunyikan data penting,Proses transformasi dan pemetaan data dari satu format ke format lain
Data,beginner,Manakah dari berikut ini yang merupakan contoh dari data kualitatif?,Usia seseorang,Jumlah penduduk,Tingkat kepuasan pelanggan,Suhu udara,Tingkat kepuasan pelanggan
Data,beginner,Apa tujuan utama dari Exploratory Data Analysis (EDA)?,Untuk menghapus data yang tidak diperlukan,Untuk memahami karakteristik data dan menemukan pola atau anomali,Untuk membuat prediksi masa depan,Untuk mengenkripsi data sensitif,Untuk memahami karakteristik data dan menemukan pola atau anomali
Data,beginner,Manakah dari berikut ini yang merupakan contoh dari visualisasi data?,Diagram alur,File log,Grafik batang,Struktur data,Grafik batang
Data,beginner,Apa yang dimaksud dengan 'data cleaning'?,Proses menghapus semua data,Teknik untuk membuat data baru,Proses mendeteksi dan memperbaiki atau menghapus data yang tidak akurat dari dataset,Metode untuk mengenkripsi data,Proses mendeteksi dan memperbaiki atau menghapus data yang tidak akurat dari dataset
Data,beginner,Manakah dari berikut ini yang BUKAN merupakan tipe data dasar dalam SQL?,INTEGER,VARCHAR,BOOLEAN,MATRIX,MATRIX
Data,beginner,Apa fungsi dari perintah SELECT dalam SQL?,Untuk menambahkan data baru ke tabel,Untuk menghapus data dari tabel,Untuk mengambil data dari satu atau lebih tabel,Untuk mengubah struktur tabel,Untuk mengambil data dari satu atau lebih tabel
Data,beginner,Apa yang dimaksud dengan 'big data'?,Data yang hanya bisa disimpan dalam satu komputer,Kumpulan data yang sangat besar dan kompleks yang tidak dapat dikelola dengan alat manajemen data tradisional,Data yang hanya digunakan oleh perusahaan besar,Kumpulan data yang berukuran kurang dari 1 GB,Kumpulan data yang sangat besar dan kompleks yang tidak dapat dikelola dengan alat manajemen data tradisional
Data,beginner,Apa fungsi utama dari pivot table?,Untuk menghapus data duplikat,Untuk membuat grafik,Untuk merangkum data dan membuat laporan yang dapat disesuaikan,Untuk mengenkripsi data sensitif,Untuk merangkum data dan membuat laporan yang dapat disesuaikan
Data,beginner,Manakah dari berikut ini yang merupakan contoh dari Data Definition Language (DDL) dalam SQL?,SELECT,INSERT,CREATE TABLE,UPDATE,CREATE TABLE
Data,beginner,Apa yang dimaksud dengan 'data mining'?,Proses menggali tanah untuk mencari data,Teknik untuk mengekstrak informasi berharga dari kumpulan data besar,Metode untuk menghapus data lama,Proses membuat data baru secara acak,Teknik untuk mengekstrak informasi berharga dari kumpulan data besar
Data,beginner,Apa fungsi dari perintah WHERE dalam SQL?,Untuk menentukan nama tabel,Untuk menambahkan kolom baru,Untuk memfilter hasil query berdasarkan kondisi tertentu,Untuk mengurutkan hasil query,Untuk memfilter hasil query berdasarkan kondisi tertentu
Data,beginner,Manakah dari berikut ini yang merupakan contoh dari data terstruktur?,Video,Email,Tabel dalam database relasional,Posting media sosial,Tabel dalam database relasional
Data,beginner,Apa yang dimaksud dengan 'data warehouse'?,Tempat penyimpanan fisik untuk hardisk dan server,Sistem untuk menyimpan data historis dan saat ini dari berbagai sumber untuk analisis bisnis,Aplikasi untuk membuat backup data,Metode untuk menghapus data lama secara otomatis,Sistem untuk menyimpan data historis dan saat ini dari berbagai sumber untuk analisis bisnis
Data,beginner,Apa fungsi utama dari Data Manipulation Language (DML) dalam SQL?,Untuk mendefinisikan struktur database,Untuk mengontrol akses ke data dalam database,"Untuk memanipulasi data dalam database, seperti insert, update, dan delete",Untuk membuat backup database,"Untuk memanipulasi data dalam database, seperti insert, update, dan delete"
Data,beginner,Manakah dari berikut ini yang BUKAN merupakan jenis visualisasi data yang umum?,Grafik batang,Diagram lingkaran,Grafik garis,Tabel SQL,Tabel SQL
Data,intermediate,Apa yang dimaksud dengan 'data normalization' dalam konteks database?,Proses mengubah semua data menjadi huruf kapital,Teknik untuk menghilangkan redundansi data dan meningkatkan integritas data,Metode untuk mengenkripsi data sensitif,Proses menggabungkan semua tabel menjadi satu,Teknik untuk menghilangkan redundansi data dan meningkatkan integritas data
Data,intermediate,Apa fungsi dari agregasi data dalam analisis?,Untuk menghapus data yang tidak diperlukan,Untuk membuat data baru secara acak,"Untuk meringkas data dan menghitung statistik seperti jumlah, rata-rata, atau maksimum",Untuk mengenkripsi data sensitif,"Untuk meringkas data dan menghitung statistik seperti jumlah, rata-rata, atau maksimum"
Data,intermediate,Apa yang dimaksud dengan 'data lake'?,Database yang hanya menyimpan data numerik,Sistem penyimpanan yang dapat menyimpan data terstruktur dan tidak terstruktur dalam format aslinya,Metode untuk menghapus data secara permanen,Aplikasi untuk membuat visualisasi data 3D,Sistem penyimpanan yang dapat menyimpan data terstruktur dan tidak terstruktur dalam format aslinya
Data,intermediate,Apa perbedaan utama antara OLTP (Online Transaction Processing) dan OLAP (Online Analytical Processing)?,"OLTP digunakan untuk analisis data, sementara OLAP untuk transaksi harian","OLTP fokus pada transaksi harian, sementara OLAP digunakan untuk analisis data kompleks","OLTP hanya dapat digunakan dengan database SQL, sementara OLAP dengan NoSQL","Tidak ada perbedaan, keduanya adalah istilah yang sama","OLTP fokus pada transaksi harian, sementara OLAP digunakan untuk analisis data kompleks"
Data,intermediate,Apa yang dimaksud dengan 'feature engineering' dalam konteks data science?,Proses membuat fitur baru pada aplikasi,Teknik untuk memilih kolom terbaik dalam database,Proses menciptakan fitur baru atau memodifikasi fitur yang ada untuk meningkatkan performa model machine learning,Metode untuk menghapus fitur yang tidak diperlukan dari dataset,Proses menciptakan fitur baru atau memodifikasi fitur yang ada untuk meningkatkan performa model machine learning
Data,intermediate,Apa fungsi utama dari 'cross-validation' dalam machine learning?,Untuk membuat dataset baru,Untuk menguji performa model pada data yang belum pernah dilihat dan menghindari overfitting,Untuk menggabungkan dua dataset yang berbeda,Untuk mengenkripsi data sensitif dalam model,Untuk menguji performa model pada data yang belum pernah dilihat dan menghindari overfitting
Data,intermediate,Apa yang dimaksud dengan 'dimensionality reduction' dalam analisis data?,Proses mengurangi ukuran file data,Teknik untuk mengurangi jumlah variabel dalam dataset sambil mempertahankan sebagian besar informasi,Metode untuk menghapus outlier dari dataset,Proses mengubah data 3D menjadi 2D,Teknik untuk mengurangi jumlah variabel dalam dataset sambil mempertahankan sebagian besar informasi
Data,intermediate,Manakah dari berikut ini yang merupakan contoh dari teknik clustering dalam machine learning?,Linear Regression,K-Means,Logistic Regression,Decision Trees,K-Means
Data,intermediate,Apa yang dimaksud dengan 'data lineage'?,Garis yang menghubungkan titik-titik data dalam grafik,"Proses melacak asal-usul data, pergerakannya, dan perubahannya dari waktu ke waktu",Teknik untuk mengurutkan data berdasarkan waktu,Metode untuk menghapus data lama secara otomatis,"Proses melacak asal-usul data, pergerakannya, dan perubahannya dari waktu ke waktu"
Data,intermediate,Apa fungsi dari 'JOIN' dalam SQL?,Untuk menggabungkan baris dari dua atau lebih tabel berdasarkan kolom yang terkait,Untuk memisahkan satu tabel menjadi beberapa tabel,Untuk menggabungkan beberapa kolom menjadi satu,Untuk menghapus duplikat data dalam tabel,Untuk menggabungkan baris dari dua atau lebih tabel berdasarkan kolom yang terkait
Data,intermediate,Apa yang dimaksud dengan 'data governance'?,Proses pemilihan pemimpin dalam tim data,"Kerangka kerja untuk mengelola ketersediaan, kegunaan, integritas, dan keamanan data dalam suatu organisasi",Teknik untuk mengenkripsi seluruh database,Metode untuk membatasi akses pengguna ke data,"Kerangka kerja untuk mengelola ketersediaan, kegunaan, integritas, dan keamanan data dalam suatu organisasi"
Data,intermediate,Apa perbedaan utama antara 'supervised learning' dan 'unsupervised learning'?,"Supervised learning menggunakan data berlabel, sementara unsupervised learning tidak","Supervised learning hanya digunakan untuk klasifikasi, sementara unsupervised learning untuk clustering",Supervised learning lebih cepat daripada unsupervised learning,"Tidak ada perbedaan, keduanya adalah istilah yang sama","Supervised learning menggunakan data berlabel, sementara unsupervised learning tidak"
Data,intermediate,Apa yang dimaksud dengan 'data mart' dalam konteks data warehouse?,Toko yang menjual perangkat keras untuk penyimpanan data,Subset dari data warehouse yang fokus pada area bisnis tertentu,Software untuk manajemen database,Teknik untuk mempartisi tabel besar dalam database,Subset dari data warehouse yang fokus pada area bisnis tertentu
Data,intermediate,Apa fungsi utama dari 'indexing' dalam database?,Untuk mengenkripsi data sensitif,Untuk membuat backup database,Untuk meningkatkan kecepatan pencarian dan pengambilan data,Untuk mengurutkan data dalam tabel,Untuk meningkatkan kecepatan pencarian dan pengambilan data
Data,intermediate,Apa yang dimaksud dengan 'ETL' dalam konteks data warehousing?,"Encrypt, Transfer, Load","Extract, Transform, Load","Evaluate, Test, Launch","Extend, Track, Limit","Extract, Transform, Load"
Data,advanced,Apa yang dimaksud dengan 'data sharding' dan apa manfaatnya?,"Teknik untuk menghapus data secara aman, bermanfaat untuk privasi data","Metode untuk mengenkripsi data, bermanfaat untuk keamanan data","Proses membagi database besar menjadi bagian-bagian kecil yang didistribusikan, bermanfaat untuk meningkatkan performa dan skalabilitas","Teknik untuk menggabungkan beberapa database, bermanfaat untuk analisis data terpadu","Proses membagi database besar menjadi bagian-bagian kecil yang didistribusikan, bermanfaat untuk meningkatkan performa dan skalabilitas"
Data,advanced,Jelaskan konsep 'eventual consistency' dalam sistem database terdistribusi.,Data selalu konsisten di semua node setiap saat,Data tidak pernah konsisten di antara node-node,"Data akan menjadi konsisten di semua node setelah beberapa waktu, meskipun mungkin tidak konsisten untuk sementara",Konsistensi data hanya penting pada satu node utama,"Data akan menjadi konsisten di semua node setelah beberapa waktu, meskipun mungkin tidak konsisten untuk sementara"
Data,advanced,Apa yang dimaksud dengan 'curse of dimensionality' dalam machine learning?,Masalah ketika model memiliki terlalu sedikit fitur,Fenomena di mana performa model menurun ketika jumlah fitur meningkat secara signifikan,Ketidakmampuan model untuk bekerja dengan data multidimensi,Keuntungan yang didapat ketika menggunakan data dengan dimensi tinggi,Fenomena di mana performa model menurun ketika jumlah fitur meningkat secara signifikan
Data,advanced,Apa perbedaan utama antara 'OLAP cube' dan 'star schema'?,"OLAP cube adalah struktur data multidimensi, sementara star schema adalah model data relasional","OLAP cube hanya digunakan untuk data numerik, sementara star schema untuk data kategorikal","OLAP cube digunakan untuk OLTP, sementara star schema untuk OLAP","Tidak ada perbedaan, keduanya adalah istilah yang sama","OLAP cube adalah struktur data multidimensi, sementara star schema adalah model data relasional"
Data,advanced,Apa yang dimaksud dengan 'data fabric' dalam arsitektur data modern?,Jenis database baru yang menggantikan SQL dan NoSQL,Lapisan keamanan untuk melindungi data dari akses tidak sah,"Arsitektur dan teknologi yang mengintegrasikan berbagai lingkungan data, proses, dan tim dalam satu platform",Metode untuk menyimpan data dalam format terkompresi,"Arsitektur dan teknologi yang mengintegrasikan berbagai lingkungan data, proses, dan tim dalam satu platform"
Data,advanced,Jelaskan konsep 'homomorphic encryption' dan relevansinya dalam analisis data.,"Teknik enkripsi yang memungkinkan komputasi dilakukan pada data terenkripsi tanpa mendekripsinya, relevan untuk privasi dalam analisis data","Metode untuk mengubah semua data menjadi format yang sama, relevan untuk standardisasi data","Proses mengenkripsi data dengan kunci yang sama, relevan untuk keamanan database","Teknik untuk membuat data palsu yang mirip dengan data asli, relevan untuk pengujian","Teknik enkripsi yang memungkinkan komputasi dilakukan pada data terenkripsi tanpa mendekripsinya, relevan untuk privasi dalam analisis data"
Data,advanced,Apa yang dimaksud dengan 'federated learning' dalam konteks machine learning?,Teknik untuk menggabungkan beberapa model machine learning menjadi satu,Metode pembelajaran di mana model dilatih secara terdistribusi tanpa berbagi data mentah,Proses membagi dataset menjadi beberapa bagian untuk pelatihan paralel,Pendekatan untuk melatih model menggunakan data dari berbagai negara,Metode pembelajaran di mana model dilatih secara terdistribusi tanpa berbagi data mentah
Data,advanced,Apa yang dimaksud dengan 'data mesh' dan bagaimana berbeda dengan arsitektur data tradisional?,"Teknik untuk mengenkripsi data, berbeda karena lebih aman","Pendekatan desentralisasi untuk arsitektur data yang memperlakukan domain sebagai pemilik data, berbeda dari pendekatan terpusat tradisional","Metode untuk menghubungkan berbagai database, berbeda karena menggunakan protokol baru","Strategi untuk menyimpan data di cloud, berbeda karena tidak menggunakan penyimpanan lokal","Pendekatan desentralisasi untuk arsitektur data yang memperlakukan domain sebagai pemilik data, berbeda dari pendekatan terpusat tradisional"
Data,advanced,Jelaskan konsep 'differential privacy' dan mengapa penting dalam analisis data.,"Teknik untuk membedakan data privat dan publik, penting untuk manajemen akses","Metode matematika untuk menambahkan noise ke data agregat, penting untuk melindungi privasi individu dalam dataset besar","Proses untuk memisahkan data sensitif dari non-sensitif, penting untuk kepatuhan regulasi","Strategi untuk mengenkripsi data secara berbeda berdasarkan tingkat sensitivitasnya, penting untuk keamanan berlapis","Metode matematika untuk menambahkan noise ke data agregat, penting untuk melindungi privasi individu dalam dataset besar"
iOS,beginner,Apa fungsi utama dari Layout Anchor dalam pengembangan iOS?,Mengatur warna UI,Menentukan posisi dan ukuran view secara programatik,Mengelola memori aplikasi,Mengoptimalkan kinerja aplikasi,Menentukan posisi dan ukuran view secara programatik
iOS,beginner,Apa yang dimaksud dengan Human Interface Guidelines (HIG) dalam pengembangan iOS?,Aturan wajib yang ditentukan oleh Apple untuk desain aplikasi,Panduan untuk membuat antarmuka yang konsisten dan intuitif,Sistem untuk mengukur kinerja aplikasi,Alat untuk mendesain ikon aplikasi,Panduan untuk membuat antarmuka yang konsisten dan intuitif
iOS,beginner,Apa fungsi utama dari Apple Store dalam ekosistem iOS?,Menyediakan perangkat keras Apple,Platform untuk mendistribusikan dan mengunduh aplikasi,Layanan penyimpanan cloud,Sistem operasi untuk iPhone,Platform untuk mendistribusikan dan mengunduh aplikasi
iOS,beginner,Apa kegunaan dari Guard Statement dalam Swift?,Melindungi aplikasi dari serangan hacker,Menangani error dalam aplikasi,Keluar lebih awal dari fungsi jika kondisi tidak terpenuhi,Membatasi akses ke variabel tertentu,Keluar lebih awal dari fungsi jika kondisi tidak terpenuhi
iOS,beginner,Bagaimana cara membuat IBOutlet di Xcode?,Mengetik @IBOutlet di depan deklarasi variabel,Mengklik kanan pada view dan memilih 'Create Outlet',Menarik garis dari view ke kode Swift,Menambahkan outlet di Interface Builder,Menarik garis dari view ke kode Swift
iOS,beginner,Apa fungsi utama dari UITableView dalam pengembangan iOS?,Menampilkan data dalam bentuk tabel,Membuat animasi transisi antar view,Mengelola penyimpanan lokal,Mengatur tata letak tombol,Menampilkan data dalam bentuk tabel
iOS,beginner,Apa fungsi utama dari AppDelegate dalam aplikasi iOS?,Mengatur tampilan utama aplikasi,Menangani event siklus hidup aplikasi,Menyimpan data pengguna,Mengatur koneksi jaringan,Menangani event siklus hidup aplikasi
iOS,beginner,Apa yang dimaksud dengan 'Storyboard' dalam pengembangan iOS?,Alat untuk membuat animasi,Antarmuka visual untuk merancang alur aplikasi,Kode Swift yang mengatur navigasi,Dokumentasi aplikasi,Antarmuka visual untuk merancang alur aplikasi
iOS,beginner,Bagaimana cara membuat IBAction di Xcode?,Menambahkan @IBAction di depan deklarasi fungsi,Mengklik kanan pada view dan memilih 'Create Action',Menarik garis dari view ke kode Swift,Mengetik 'action' di Interface Builder,Menarik garis dari view ke kode Swift
iOS,beginner,Apa fungsi dari UINavigationController?,Mengatur navigasi antar view controller,Menampilkan peta dalam aplikasi,Mengatur penyimpanan data,Membuat animasi transisi,Mengatur navigasi antar view controller
iOS,beginner,Apa kegunaan utama dari UIStackView?,Mengelompokkan view secara vertikal atau horizontal,Menampilkan data dalam bentuk tumpukan 3D,Mengatur navigasi aplikasi,Membuat efek paralaks,Mengelompokkan view secara vertikal atau horizontal
iOS,beginner,Apa yang dimaksud dengan 'lazy' keyword dalam Swift?,Untuk membuat variabel yang tidak dapat diubah,Untuk menunda inisialisasi properti hingga digunakan pertama kali,Untuk membuat fungsi yang berjalan lambat,Untuk mengoptimalkan performa aplikasi,Untuk menunda inisialisasi properti hingga digunakan pertama kali
iOS,beginner,Apa kegunaan dari UIAlertController?,Menampilkan pesan peringatan atau konfirmasi,Mengontrol kecerahan layar,Mengatur volume suara,Mengelola koneksi Bluetooth,Menampilkan pesan peringatan atau konfirmasi
iOS,beginner,Bagaimana cara menambahkan ikon aplikasi ke proyek iOS?,Menambahkan gambar ke Assets.xcassets,Menggunakan UIImage untuk membuat ikon,Mendownload ikon saat runtime,Menggunakan CSS untuk menggambar ikon,Menambahkan gambar ke Assets.xcassets
iOS,beginner,Apa kegunaan dari 'segue' dalam iOS development?,Untuk membuat animasi,Untuk menghubungkan dua view controller dalam storyboard,Untuk mengatur warna aplikasi,Untuk mengompres gambar,Untuk menghubungkan dua view controller dalam storyboard
iOS,beginner,Apa fungsi utama dari UITabBarController?,Menampilkan tab untuk navigasi antar view controller,Mengatur tata letak tabel,Mengelola penyimpanan data,Membuat animasi tab,Menampilkan tab untuk navigasi antar view controller
iOS,beginner,Apa yang dimaksud dengan 'Safe Area' dalam desain UI iOS?,Area yang aman dari serangan hacker,Area layar yang tidak terhalang oleh fitur perangkat seperti notch,Area penyimpanan data yang terenkripsi,Area yang tidak dapat diakses oleh pengguna,Area layar yang tidak terhalang oleh fitur perangkat seperti notch
iOS,beginner,Apa fungsi dari Auto Layout dalam pengembangan iOS?,Mengatur ukuran font secara otomatis,Menentukan tata letak UI yang responsif untuk berbagai ukuran layar,Mengoptimalkan kinerja aplikasi secara otomatis,Mengatur navigasi antar halaman secara otomatis,Menentukan tata letak UI yang responsif untuk berbagai ukuran layar
iOS,beginner,Apa yang dimaksud dengan 'Constraints' dalam Auto Layout?,Batasan ukuran file aplikasi,Aturan yang menentukan posisi dan ukuran view,Batasan jumlah view dalam satu layar,Aturan penamaan variabel dalam Swift,Aturan yang menentukan posisi dan ukuran view
iOS,beginner,Apa fungsi dari UIScrollView?,Menampilkan konten yang lebih besar dari ukuran layar,Membuat efek parallax,Mengatur zoom in dan zoom out kamera,Mengelola memori aplikasi,Menampilkan konten yang lebih besar dari ukuran layar
iOS,beginner,Apa kegunaan dari Assets.xcassets dalam proyek iOS?,Menyimpan kode Swift,Mengelola gambar dan ikon aplikasi,Menyimpan data pengguna,Mengatur konfigurasi build,Mengelola gambar dan ikon aplikasi
iOS,intermediate,Apa kegunaan utama dari XCTest framework dalam pengembangan iOS?,Untuk melakukan unit testing dan UI testing,Untuk mengoptimalkan kinerja aplikasi,Untuk mengelola dependensi eksternal,Untuk membuat antarmuka pengguna,Untuk melakukan unit testing dan UI testing
iOS,intermediate,Bagaimana cara mengirim notifikasi lokal dalam aplikasi iOS?,Menggunakan UNUserNotificationCenter,Menggunakan UIAlertController,Menggunakan NSNotificationCenter,Menggunakan UILocalNotification,Menggunakan UNUserNotificationCenter
iOS,intermediate,Apa yang dimaksud dengan 'Background Modes' dalam pengembangan iOS?,Fitur untuk menjalankan tugas tertentu saat aplikasi tidak aktif,Mode gelap dalam UI aplikasi,Pengaturan warna latar belakang,Mode debugging untuk Xcode,Fitur untuk menjalankan tugas tertentu saat aplikasi tidak aktif
iOS,intermediate,Apa keunggulan menggunakan Alamofire dibandingkan URLSession standar?,Sintaks yang lebih sederhana dan fitur tambahan seperti chaining request,Kecepatan proses yang lebih tinggi,Dukungan untuk protokol jaringan yang lebih luas,Kemampuan untuk melakukan caching otomatis,Sintaks yang lebih sederhana dan fitur tambahan seperti chaining request
iOS,intermediate,Apa perbedaan utama antara UITest dan Unit Test dalam pengembangan iOS?,"UITest fokus pada pengujian antarmuka pengguna, sementara Unit Test fokus pada pengujian logika kode",UITest lebih cepat dijalankan dibandingkan Unit Test,"UITest hanya dapat dilakukan pada perangkat fisik, sementara Unit Test dapat dilakukan pada simulator","UITest menggunakan bahasa Swift, sementara Unit Test menggunakan Objective-C","UITest fokus pada pengujian antarmuka pengguna, sementara Unit Test fokus pada pengujian logika kode"
iOS,intermediate,Bagaimana cara menerapkan 'push notification' dalam aplikasi iOS?,Menggunakan Apple Push Notification Service (APNS) dan mengimplementasikan UNUserNotificationCenterDelegate,Menggunakan UILocalNotification dan NSTimer,Menggunakan Firebase Cloud Messaging (FCM),Menggunakan UIAlertController dengan timer,Menggunakan Apple Push Notification Service (APNS) dan mengimplementasikan UNUserNotificationCenterDelegate
iOS,intermediate,Apa yang dimaksud dengan 'Grand Central Dispatch (GCD)' dalam iOS?,Teknologi untuk mengelola tugas konkuren dan paralel,Framework untuk membuat animasi kompleks,Sistem untuk mengoptimalkan penggunaan baterai,Protokol untuk komunikasi antar aplikasi,Teknologi untuk mengelola tugas konkuren dan paralel
iOS,intermediate,Apa keuntungan menggunakan 'Core Data' dibandingkan dengan penyimpanan data sederhana seperti UserDefaults?,Core Data mendukung relasi antar entitas dan query kompleks,Core Data lebih cepat dalam operasi baca-tulis,Core Data otomatis mengenkripsi data yang disimpan,Core Data memungkinkan sinkronisasi data real-time dengan iCloud,Core Data mendukung relasi antar entitas dan query kompleks
iOS,intermediate,Apa yang dimaksud dengan 'Combine Framework' dalam Swift?,Framework untuk menggabungkan multiple view controller,Library untuk melakukan operasi matematika kompleks,Framework untuk pemrograman reaktif dan penanganan event asinkron,Tool untuk menggabungkan multiple storyboard,Framework untuk pemrograman reaktif dan penanganan event asinkron
iOS,intermediate,Apa yang dimaksud dengan 'Universal Links' dalam pengembangan aplikasi iOS?,Mekanisme untuk membuka aplikasi dari URL web,Fitur untuk berbagi konten antar aplikasi,Sistem untuk menghubungkan aplikasi dengan perangkat IoT,Metode untuk mengintegrasikan aplikasi dengan Siri,Mekanisme untuk membuka aplikasi dari URL web
iOS,intermediate,Apa yang dimaksud dengan 'Continuous Integration' dalam pengembangan iOS?,Proses pengujian aplikasi secara terus-menerus,Metode untuk mengintegrasikan fitur baru secara bertahap,Praktik mengotomatisasi integrasi kode dari multiple developer,Teknik untuk memastikan kompatibilitas aplikasi dengan semua versi iOS,Praktik mengotomatisasi integrasi kode dari multiple developer
iOS,intermediate,Bagaimana cara menangani operasi asinkron dalam Swift menggunakan 'async/await'?,Dengan menggunakan blok 'try-catch',Dengan menandai fungsi sebagai 'async' dan menggunakan keyword 'await' saat memanggilnya,Dengan menggunakan Grand Central Dispatch (GCD),Dengan membuat thread baru untuk setiap operasi,Dengan menandai fungsi sebagai 'async' dan menggunakan keyword 'await' saat memanggilnya
iOS,intermediate,Apa fungsi utama dari URLSession dalam iOS development?,Untuk mengatur sesi login pengguna,Untuk melakukan permintaan jaringan dan mengirim/menerima data,Untuk menyimpan URL bookmark dalam aplikasi,Untuk mengenkripsi URL dalam aplikasi,Untuk melakukan permintaan jaringan dan mengirim/menerima data
iOS,intermediate,Apa yang dimaksud dengan 'Protocol-Oriented Programming' dalam Swift?,Paradigma pemrograman yang mengutamakan penggunaan protokol daripada pewarisan kelas,Teknik untuk mengoptimalkan performa aplikasi,Metode untuk mengelola dependensi dalam proyek,Pendekatan untuk mengorganisir kode berdasarkan fitur,Paradigma pemrograman yang mengutamakan penggunaan protokol daripada pewarisan kelas
iOS,intermediate,Bagaimana cara menggunakan UserDefaults untuk menyimpan data sederhana di iOS?,Menggunakan metode setValue(_:forKey:) dan object(forKey:),Menyimpan data langsung ke file system,Menggunakan Core Data untuk semua jenis penyimpanan,Mengirim data ke iCloud untuk disimpan,Menggunakan metode setValue(_:forKey:) dan object(forKey:)
iOS,advanced,Apa prinsip utama dari Clean Architecture dalam pengembangan iOS?,Memisahkan kode menjadi lapisan-lapisan dengan tanggung jawab yang jelas,Menggunakan satu file Swift untuk seluruh aplikasi,Menggabungkan semua logika bisnis ke dalam satu kelas besar,Menghindari penggunaan framework pihak ketiga,Memisahkan kode menjadi lapisan-lapisan dengan tanggung jawab yang jelas
iOS,advanced,Apa yang dimaksud dengan 'Dependency Inversion Principle' dalam SOLID?,"Modul tingkat tinggi tidak boleh bergantung pada modul tingkat rendah, keduanya harus bergantung pada abstraksi",Selalu menggunakan dependency injection dalam setiap kelas,Menghindari penggunaan framework pihak ketiga,Menggunakan singleton untuk semua dependensi,"Modul tingkat tinggi tidak boleh bergantung pada modul tingkat rendah, keduanya harus bergantung pada abstraksi"
iOS,advanced,Apa keuntungan utama dari penerapan Test-Driven Development (TDD) dalam pengembangan iOS?,Meningkatkan kualitas kode dan mengurangi bug,Mempercepat proses development,Mengurangi kebutuhan untuk dokumentasi,Menghilangkan kebutuhan untuk code review,Meningkatkan kualitas kode dan mengurangi bug
iOS,advanced,Bagaimana cara menerapkan modularisasi dalam proyek iOS skala besar?,Memecah aplikasi menjadi framework-framework terpisah,Menggabungkan semua kode ke dalam satu file besar,Menggunakan satu storyboard untuk seluruh aplikasi,Menghindari penggunaan third-party libraries,Memecah aplikasi menjadi framework-framework terpisah
iOS,advanced,Apa keuntungan utama dari penggunaan RxSwift dalam pengembangan iOS?,Menyederhanakan penanganan operasi asynchronous dan event-based,Meningkatkan kecepatan kompilasi,Mengurangi ukuran aplikasi,Mengotomatisasi proses deployment,Menyederhanakan penanganan operasi asynchronous dan event-based
iOS,advanced,Apa yang dimaksud dengan arsitektur VIPER dalam pengembangan iOS?,"Pemisahan tanggung jawab menjadi View, Interactor, Presenter, Entity, dan Router",Teknik untuk mengoptimalkan performa visual aplikasi,Framework untuk membuat animasi kompleks,Metode untuk mengintegrasikan machine learning ke dalam aplikasi,"Pemisahan tanggung jawab menjadi View, Interactor, Presenter, Entity, dan Router"
iOS,advanced,Bagaimana Continuous Integration dapat diimplementasikan dalam pengembangan aplikasi iOS?,"Menggunakan tools seperti Jenkins, Travis CI, atau Fastlane untuk otomatisasi build dan test",Melakukan manual testing setiap hari,Mengirim update aplikasi ke App Store setiap minggu,Menggunakan git branches untuk setiap fitur baru,"Menggunakan tools seperti Jenkins, Travis CI, atau Fastlane untuk otomatisasi build dan test"
iOS,advanced,Apa keuntungan menggunakan Combine Framework dalam pengembangan iOS?,Menyediakan cara deklaratif untuk menangani nilai asinkron dari waktu ke waktu,Meningkatkan kecepatan rendering UI,Mengotomatisasi proses localization,Menyederhanakan integrasi dengan web services,Menyediakan cara deklaratif untuk menangani nilai asinkron dari waktu ke waktu
iOS,advanced,Bagaimana cara mengimplementasikan caching yang efektif dalam aplikasi iOS?,Menggunakan NSCache atau membuat sistem caching kustom,Menyimpan semua data di UserDefaults,Selalu mengambil data baru dari server,Menggunakan Core Data untuk semua jenis data,Menggunakan NSCache atau membuat sistem caching kustom
Machine Learning,beginner,"Dalam visualisasi data, manakah dari berikut ini yang paling sesuai untuk menampilkan distribusi data kontinu?",Diagram batang,Diagram lingkaran,Histogram,Diagram garis,Histogram
